transaction_id,amount,payment_method,failure_reason,customer_attempts,hour,recovery_probability,recovered
TXN00038,3990,Wallet,Timeout,4,10,0.32644915461697577,0
TXN00039,41706,Wallet,Network Error,4,0,0.7503588075488323,0
TXN00040,30840,Wallet,Authentication Failed,5,5,0.38375720333821595,0
TXN00041,14602,Card,Bank Declined,4,10,0.23664302490191919,0
TXN00042,21877,Wallet,Authentication Failed,2,0,0.36168551736964455,0
TXN00043,10727,Wallet,Network Error,2,20,0.8613397669852886,1
TXN00044,8892,Wallet,Bank Declined,3,6,0.7960424271525826,1
TXN00045,43423,Card,Insufficient Funds,3,5,0.38814637163531185,0
TXN00046,43121,UPI,Insufficient Funds,3,13,0.34124946928608035,0
TXN00047,8533,Netbanking,Timeout,4,1,0.98,1
TXN00048,43101,Wallet,Network Error,4,3,0.4403952617116489,0
TXN00049,11116,UPI,Network Error,5,10,0.4507514979982259,1
TXN00050,23997,Wallet,Insufficient Funds,3,14,0.25430702392547977,1
TXN00051,2712,Card,Authentication Failed,1,17,0.32093012279676114,0
TXN00052,23583,UPI,Bank Declined,5,0,0.4655559187429306,0
TXN00053,48655,Card,Authentication Failed,1,2,0.8375839588928276,1
TXN00054,17259,Wallet,Authentication Failed,4,2,0.630743488440002,1
TXN00055,45074,Wallet,Insufficient Funds,5,6,0.33836258402858455,0
TXN00056,41094,Card,Insufficient Funds,5,0,0.7040875561998502,1
TXN00057,14641,Netbanking,Insufficient Funds,2,10,0.08392496273307565,1
TXN00058,36020,Card,Timeout,4,5,0.447193324531303,0
TXN00059,26631,Wallet,Authentication Failed,4,19,0.5961220235712312,0
TXN00060,1685,Card,Network Error,5,2,0.7308868362352253,1
TXN00061,4043,Netbanking,Bank Declined,4,18,0.22769025459382922,0
TXN00062,24039,Card,Timeout,5,1,0.5821271305349925,0
TXN00063,19557,Netbanking,Network Error,2,17,0.7544077753816109,1
TXN00064,1121,Netbanking,Authentication Failed,5,11,0.6886493824823812,1
TXN00065,11753,Card,Insufficient Funds,4,9,0.49669793176138843,0
TXN00066,43673,Card,Authentication Failed,4,4,0.4243942570526472,1
TXN00067,13517,UPI,Bank Declined,5,8,0.26546408651853665,1
TXN00068,40857,Wallet,Timeout,5,1,0.5989787124935338,1
TXN00069,9792,Netbanking,Timeout,5,1,0.3901281061576388,0
TXN00070,45858,UPI,Bank Declined,3,5,0.863336560964467,1
TXN00071,6973,Card,Network Error,4,9,0.6326196062158397,0
TXN00072,5775,Wallet,Network Error,4,17,0.5220814220498072,1
TXN00073,261,UPI,Timeout,3,11,0.83641284978323,0
TXN00074,37165,Netbanking,Timeout,5,3,0.6485640148075847,1
TXN00075,26657,UPI,Insufficient Funds,2,21,0.267023816808715,0
TXN00076,33863,Netbanking,Network Error,5,20,0.8683774196735611,1
TXN00077,32706,Card,Bank Declined,5,16,0.8070065057007854,1
TXN00078,11634,Wallet,Network Error,3,14,0.7711057164020739,0
TXN00079,29227,Wallet,Insufficient Funds,4,5,0.08287509568536713,0
TXN00080,40497,Wallet,Timeout,5,15,0.6964260161165724,1
TXN00081,25951,Card,Timeout,4,16,0.834306438398097,0
TXN00082,1116,Netbanking,Insufficient Funds,1,2,0.14555210845850755,0
TXN00083,24353,Card,Bank Declined,4,9,0.36006952596922237,0
TXN00084,24376,Wallet,Timeout,2,4,0.9177465735476954,1
TXN00085,23347,Card,Authentication Failed,2,13,0.21408520529715183,0
TXN00086,24400,Card,Timeout,5,20,0.8269089964781832,1
TXN00087,8629,Card,Authentication Failed,4,12,0.5316413047600961,0
TXN00088,17362,Netbanking,Insufficient Funds,5,5,0.36274051118772477,1
TXN00089,9368,UPI,Insufficient Funds,3,11,0.05496757274642103,0
TXN00090,21371,UPI,Timeout,2,7,0.8735787616765448,1
TXN00091,12285,Card,Network Error,5,4,0.5518774304455966,1
TXN00092,21343,UPI,Authentication Failed,3,14,0.5785359419103799,0
TXN00093,39199,UPI,Bank Declined,5,15,0.6741104804349616,0
TXN00094,8671,Card,Timeout,4,0,0.791840703506541,1
TXN00095,40076,Card,Bank Declined,4,15,0.8691860411782506,1
TXN00096,38144,Wallet,Timeout,4,4,0.6719379672656264,1
TXN00097,49316,UPI,Network Error,4,2,0.5798036856820993,1
TXN00098,49084,Netbanking,Network Error,1,19,0.9675925385441956,1
TXN00099,40874,Card,Network Error,3,14,0.7494771645178647,1
TXN00100,2668,Wallet,Network Error,3,12,0.508705249393589,0
TXN00101,2127,Netbanking,Insufficient Funds,4,23,0.1385249717824998,0
TXN00102,2795,UPI,Insufficient Funds,1,15,0.6397881510256268,1
TXN00103,48290,Wallet,Authentication Failed,4,22,0.4535271219559061,0
TXN00104,5358,Card,Bank Declined,1,10,0.6623288049551017,1
TXN00105,22102,Netbanking,Timeout,4,20,0.6295714935561286,1
TXN00106,39604,Card,Timeout,2,1,0.43925084585652685,1
TXN00107,33259,UPI,Insufficient Funds,2,21,0.47118062603432553,0
TXN00108,14086,Netbanking,Timeout,5,5,0.3424781482654776,1
TXN00109,12766,UPI,Insufficient Funds,4,5,0.3393397219098345,1
TXN00110,38760,UPI,Authentication Failed,3,13,0.5826304577645698,1
TXN00111,3661,Wallet,Bank Declined,5,10,0.5052328818830054,0
TXN00112,26954,Card,Authentication Failed,2,7,0.7240705226756936,1
TXN00113,39052,Netbanking,Network Error,4,7,0.8795474681817187,1
TXN00114,22762,UPI,Network Error,5,0,0.8398701518232247,1
TXN00115,8492,UPI,Network Error,4,20,0.32716906346826147,0
TXN00116,30635,Netbanking,Authentication Failed,2,6,0.33589013931218054,0
TXN00117,13167,UPI,Timeout,5,5,0.675625256484642,1
TXN00118,48133,Wallet,Bank Declined,2,20,0.8543754283106608,1
TXN00119,23699,Wallet,Network Error,1,7,0.8844697425364817,1
TXN00120,35322,Wallet,Network Error,2,18,0.8897741558462612,1
TXN00121,11937,Wallet,Network Error,4,21,0.5122457356317724,0
TXN00122,14139,UPI,Bank Declined,3,20,0.5006135279550918,1
TXN00123,30918,Netbanking,Network Error,2,23,0.6294941631211561,0
TXN00124,19215,Netbanking,Bank Declined,3,19,0.3101601083449373,0
TXN00125,11065,Netbanking,Network Error,1,7,0.32174769117111945,0
TXN00126,24638,Netbanking,Authentication Failed,5,13,0.8628320296223617,1
TXN00127,42630,Card,Authentication Failed,5,17,0.3684988099644547,1
TXN00128,5156,Netbanking,Bank Declined,3,15,0.36796423260654193,1
TXN00129,32582,Card,Authentication Failed,5,8,0.2583653376381317,0
TXN00130,47816,Card,Bank Declined,2,14,0.849955426360645,1
TXN00131,8210,Wallet,Authentication Failed,3,9,0.6058159804578404,1
TXN00132,13873,Card,Authentication Failed,4,21,0.6669257999877477,1
TXN00133,27366,UPI,Bank Declined,2,15,0.8381038210841367,0
TXN00134,17512,Card,Timeout,2,3,0.5419341182305526,1
TXN00135,33370,Wallet,Authentication Failed,2,19,0.6350551177966588,0
TXN00136,7010,Card,Network Error,4,12,0.3271596183102212,0
TXN00137,45553,UPI,Timeout,1,21,0.43074076976179054,0
TXN00138,25546,UPI,Bank Declined,5,4,0.7818720635629597,1
TXN00139,306,UPI,Timeout,3,21,0.836737849436835,1
TXN00140,21618,Wallet,Insufficient Funds,1,6,0.29544988402000283,0
TXN00141,22461,Wallet,Insufficient Funds,3,22,0.31376743944194874,0
TXN00142,23519,Netbanking,Authentication Failed,5,8,0.5734881034875057,1
TXN00143,48802,Wallet,Authentication Failed,4,7,0.20016870327959418,0
TXN00144,41623,UPI,Network Error,2,15,0.46887103522661955,0
TXN00145,45251,UPI,Timeout,2,5,0.4457622660257501,0
TXN00146,22503,Wallet,Insufficient Funds,4,15,0.2253380627248344,0
TXN00147,18241,Card,Authentication Failed,1,5,0.7641340897734088,1
TXN00148,14920,Wallet,Timeout,1,13,0.4957716995825102,1
TXN00149,40442,Wallet,Authentication Failed,3,20,0.3340649254351037,1
TXN00150,6474,UPI,Authentication Failed,4,0,0.552984422555122,1
TXN00151,1778,Netbanking,Insufficient Funds,1,8,0.6559515254609124,1
TXN00152,33927,UPI,Insufficient Funds,4,23,0.21894479268624992,1
TXN00153,16298,Netbanking,Authentication Failed,5,12,0.25497536995495906,0
TXN00154,10014,UPI,Bank Declined,2,18,0.44948331509476525,1
TXN00155,27990,Wallet,Authentication Failed,2,16,0.7233562771954845,1
TXN00156,22399,UPI,Authentication Failed,2,10,0.5854833812863562,1
TXN00157,43685,UPI,Network Error,4,7,0.8717553587020431,1
TXN00158,43789,UPI,Network Error,4,22,0.9717145033264637,1
TXN00159,42657,Wallet,Network Error,3,4,0.8548637337261319,1
TXN00160,49180,Wallet,Bank Declined,2,9,0.6226621551906273,1
TXN00161,44120,Wallet,Bank Declined,3,6,0.5453391116366664,1
TXN00162,2793,Wallet,Authentication Failed,2,9,0.22804836044378668,0
TXN00163,29567,Netbanking,Network Error,3,3,0.98,1
TXN00164,29823,Netbanking,Bank Declined,3,8,0.46843678580252973,0
TXN00165,46799,Card,Insufficient Funds,5,13,0.15655974974180678,0
TXN00166,3727,Wallet,Authentication Failed,3,1,0.6666961987775197,1
TXN00167,26039,Netbanking,Timeout,4,8,0.49900180236682157,0
TXN00168,49025,UPI,Authentication Failed,3,20,0.6100447896517334,1
TXN00169,43041,Wallet,Timeout,2,0,0.7107375354912139,0
TXN00170,21934,Card,Network Error,3,22,0.6120108746320084,1
TXN00171,18147,Card,Timeout,1,9,0.8852830308815297,1
TXN00172,26205,Card,Network Error,2,9,0.48547694308881006,1
TXN00173,10330,UPI,Insufficient Funds,1,19,0.3640428141324139,0
TXN00174,15807,Netbanking,Timeout,2,21,0.6763844900136801,0
TXN00175,22076,UPI,Authentication Failed,4,2,0.6645373045371097,1
TXN00176,44362,Wallet,Network Error,4,5,0.8487802953539126,1
TXN00177,23876,Card,Authentication Failed,4,5,0.4763650980147792,1
TXN00178,30180,UPI,Bank Declined,1,20,0.6522328608676171,0
TXN00179,1406,UPI,Network Error,5,1,0.4054276671479634,1
TXN00180,6876,Netbanking,Timeout,2,17,0.9528536703797349,1
TXN00181,27351,Netbanking,Network Error,4,22,0.5681411644947024,1
TXN00182,9574,Card,Authentication Failed,2,1,0.7106649953835069,1
TXN00183,40394,UPI,Insufficient Funds,1,11,0.06423875731752438,0
TXN00184,22059,UPI,Network Error,5,21,0.44363100003336486,0
TXN00185,5630,Netbanking,Timeout,1,4,0.6409577810265046,1
TXN00186,29420,UPI,Bank Declined,2,19,0.8147767274126425,0
TXN00187,3848,UPI,Insufficient Funds,5,6,0.4190786049654739,0
TXN00188,32068,UPI,Bank Declined,5,23,0.8509093376057153,1
TXN00189,32662,Netbanking,Network Error,1,15,0.6386578276079574,1
TXN00190,13645,Card,Authentication Failed,4,19,0.543314367715165,0
TXN00191,763,Wallet,Authentication Failed,2,0,0.2838227519503723,0
TXN00192,34866,Card,Timeout,3,0,0.8618593709065537,1
TXN00193,8094,Wallet,Authentication Failed,3,16,0.3728757887269437,1
TXN00194,28121,UPI,Insufficient Funds,1,0,0.6797287425606205,1
TXN00195,30403,Card,Authentication Failed,2,20,0.8375769542312772,1
TXN00196,3404,Wallet,Timeout,2,19,0.9603170783119047,1
TXN00197,46676,Netbanking,Network Error,1,12,0.664161342372163,0
TXN00198,39453,Netbanking,Network Error,2,8,0.773965649348551,0
TXN00199,17775,Card,Authentication Failed,4,14,0.7449611160431644,1
TXN00200,44517,Card,Bank Declined,1,2,0.29171023305532595,0
TXN00201,24038,UPI,Network Error,4,13,0.720670036498248,1
TXN00202,23764,Card,Authentication Failed,2,22,0.22400853091231818,0
TXN00203,1736,UPI,Timeout,1,10,0.648296258372108,1
TXN00204,20180,UPI,Authentication Failed,2,23,0.3083898771341592,1
TXN00205,27828,Netbanking,Network Error,1,21,0.42804604817345926,1
TXN00206,49950,Netbanking,Timeout,2,11,0.5555332966848211,0
TXN00207,26836,Wallet,Authentication Failed,4,12,0.502706016701552,0
TXN00208,28773,Netbanking,Insufficient Funds,4,12,0.486220697172531,1
TXN00209,37605,Netbanking,Timeout,2,0,0.352099892906961,0
TXN00210,47423,Card,Insufficient Funds,1,23,0.40258423286621114,1
TXN00211,46745,Netbanking,Bank Declined,3,9,0.3278375911771708,0
TXN00212,954,Wallet,Timeout,4,2,0.7017826225222193,0
TXN00213,24648,Card,Insufficient Funds,4,23,0.4961832285828284,0
TXN00214,38723,Wallet,Network Error,3,3,0.6896964795869976,0
TXN00215,7492,Netbanking,Network Error,2,15,0.8168068573348154,1
TXN00216,46817,Wallet,Bank Declined,1,7,0.4349264709686309,1
TXN00217,21656,Card,Timeout,2,15,0.8355746141431916,1
TXN00218,38659,UPI,Timeout,5,16,0.6029369571957356,1
TXN00219,26409,Wallet,Timeout,4,18,0.6389291488258177,0
TXN00220,22019,Wallet,Bank Declined,5,21,0.65367148908275,1
TXN00221,5031,Card,Timeout,4,14,0.3128508687994568,1
TXN00222,33070,Card,Network Error,4,15,0.7577959549941738,1
TXN00223,44315,Wallet,Insufficient Funds,5,14,0.4830096043504807,0
TXN00224,12788,Netbanking,Network Error,5,1,0.5168929817272959,1
TXN00225,25442,Wallet,Network Error,2,10,0.3600559994296426,0
TXN00226,37257,Card,Insufficient Funds,5,0,0.1136548149391288,0
TXN00227,2427,UPI,Network Error,2,14,0.94625662288966,1
TXN00228,40872,UPI,Bank Declined,2,18,0.682495524858086,1
TXN00229,40645,Netbanking,Insufficient Funds,2,3,0.1389718296395183,0
TXN00230,297,Wallet,Network Error,4,10,0.5497062185162345,1
TXN00231,23609,UPI,Authentication Failed,4,4,0.6147380957311175,0
TXN00232,34798,Wallet,Network Error,5,2,0.8849001935634541,1
TXN00233,44642,Card,Bank Declined,4,12,0.23056265009910598,1
TXN00234,15187,UPI,Timeout,5,9,0.46564319202900617,0
TXN00235,22771,Netbanking,Network Error,4,10,0.922824293206766,1
TXN00236,25284,Card,Timeout,1,17,0.3064158851286716,0
TXN00237,27948,Netbanking,Authentication Failed,1,1,0.34097937195572114,0
TXN00238,42207,Card,Network Error,5,6,0.9713169231810762,1
TXN00239,20766,UPI,Insufficient Funds,4,8,0.47938129256551976,0
TXN00240,44457,Netbanking,Timeout,4,9,0.4831699566462545,1
TXN00241,15808,Netbanking,Authentication Failed,2,17,0.24689376607709335,0
TXN00242,26470,Card,Insufficient Funds,3,22,0.06973393831305552,0
TXN00243,49911,Netbanking,Insufficient Funds,5,6,0.22132155574584908,0
TXN00244,2911,Card,Insufficient Funds,3,6,0.6670400737122374,1
TXN00245,47111,Card,Insufficient Funds,3,2,0.3411395580082567,0
TXN00246,6646,Card,Network Error,5,11,0.804233358416195,0
TXN00247,34854,Card,Network Error,4,6,0.9427995247659703,1
TXN00248,30306,UPI,Network Error,5,16,0.5856283231219717,1
TXN00249,41206,Card,Authentication Failed,3,0,0.333894159726178,0
TXN00250,11511,Wallet,Authentication Failed,4,4,0.5619825515998436,1
TXN00251,3011,Netbanking,Authentication Failed,1,15,0.8356585809418982,1
TXN00252,1834,Wallet,Bank Declined,5,14,0.7630620898963905,1
TXN00253,18327,UPI,Authentication Failed,5,1,0.24608089035420766,0
TXN00254,8780,Wallet,Network Error,4,8,0.7848009600543072,0
TXN00255,19460,Netbanking,Network Error,1,6,0.7003282657212676,0
TXN00256,18443,Wallet,Bank Declined,1,3,0.8352242234424978,0
TXN00257,5859,UPI,Bank Declined,4,19,0.28573699179520806,0
TXN00258,23178,Card,Authentication Failed,2,17,0.5738252792432597,0
TXN00259,35253,Wallet,Timeout,5,20,0.9156238854583246,1
TXN00260,11211,UPI,Bank Declined,5,3,0.48701665071922007,1
TXN00261,37604,UPI,Insufficient Funds,3,12,0.38739644241300686,0
TXN00262,1902,Netbanking,Network Error,4,0,0.3493224743668708,0
TXN00263,8255,Netbanking,Insufficient Funds,3,23,0.24470054831423757,0
TXN00264,8220,Wallet,Network Error,3,2,0.5271546544182631,0
TXN00265,39484,Card,Network Error,1,15,0.9615857141214209,1
TXN00266,47125,UPI,Bank Declined,5,21,0.3978671523788113,1
TXN00267,47354,Wallet,Bank Declined,3,3,0.5226081146887565,0
TXN00268,22018,UPI,Insufficient Funds,1,22,0.5199130964949957,0
TXN00269,20545,UPI,Network Error,4,15,0.41352836068551413,1
TXN00270,30406,Card,Insufficient Funds,3,18,0.3905096709993121,0
TXN00271,16746,Card,Timeout,5,0,0.8169773276331352,1
TXN00272,46943,Wallet,Insufficient Funds,3,4,0.6567986491189463,0
TXN00273,31165,Card,Authentication Failed,4,18,0.6383814922636987,1
TXN00274,25299,Card,Insufficient Funds,3,21,0.5183374607218635,1
TXN00275,42076,Wallet,Authentication Failed,5,23,0.28839843080919825,0
TXN00276,16471,Card,Authentication Failed,1,10,0.8620435480724429,1
TXN00277,11935,Netbanking,Authentication Failed,5,12,0.2928018542391376,1
TXN00278,46036,UPI,Timeout,1,19,0.8422710560272587,0
TXN00279,2149,UPI,Insufficient Funds,2,4,0.23537142524482316,0
TXN00280,31716,UPI,Insufficient Funds,5,20,0.7035152005908761,0
TXN00281,38291,UPI,Timeout,5,3,0.8039716775586357,1
TXN00282,47457,Wallet,Network Error,4,3,0.8276695990848583,1
TXN00283,21032,UPI,Bank Declined,3,3,0.35334142114191835,0
TXN00284,29955,UPI,Insufficient Funds,1,3,0.3601279836446125,0
TXN00285,7258,UPI,Bank Declined,1,19,0.6324692362125004,1
TXN00286,43116,UPI,Timeout,4,20,0.8389815327446205,1
TXN00287,7500,Netbanking,Network Error,4,17,0.37277156313867266,0
TXN00288,42742,UPI,Network Error,3,17,0.9736557215181699,1
TXN00289,15251,Netbanking,Network Error,3,15,0.9231544693881891,1
TXN00290,1254,Wallet,Timeout,5,8,0.48924401334690903,1
TXN00291,4599,Card,Authentication Failed,2,17,0.7759321701226323,1
TXN00292,6395,UPI,Authentication Failed,3,21,0.5628267461278764,0
TXN00293,12283,Card,Bank Declined,4,1,0.523264537093413,0
TXN00294,29399,Card,Authentication Failed,3,20,0.4201038740679838,0
TXN00295,12974,Wallet,Authentication Failed,1,3,0.6066780106421147,1
TXN00296,32811,Card,Network Error,2,11,0.8109223823925183,0
TXN00297,5639,Netbanking,Network Error,5,6,0.5876530334739307,0
TXN00298,42505,Card,Bank Declined,1,14,0.6404534351058044,0
TXN00299,48454,Card,Insufficient Funds,1,6,0.5395190448087126,1
TXN00300,2657,Card,Bank Declined,2,21,0.6977852719107001,0
TXN00301,38460,UPI,Bank Declined,5,20,0.23637626869182618,0
TXN00302,16582,UPI,Timeout,4,16,0.9018234639795467,1
TXN00303,2300,Netbanking,Timeout,5,15,0.6207773203355335,1
TXN00304,47040,Netbanking,Bank Declined,3,18,0.3836912571873501,1
TXN00305,3061,UPI,Bank Declined,1,8,0.3692351552357771,1
TXN00306,47075,Netbanking,Bank Declined,3,13,0.5381098789907652,1
TXN00307,21457,UPI,Authentication Failed,4,16,0.8207820776282715,0
TXN00308,12069,Wallet,Timeout,3,4,0.5648433071778528,1
TXN00309,2969,Card,Bank Declined,5,1,0.7248080227484803,1
TXN00310,46860,Card,Network Error,3,19,0.367773111691053,1
TXN00311,28743,Netbanking,Network Error,4,15,0.6332396915057432,1
TXN00312,24836,UPI,Authentication Failed,4,13,0.894180298274915,1
TXN00313,38567,UPI,Authentication Failed,4,13,0.7393064619546359,0
TXN00314,23428,Netbanking,Insufficient Funds,5,0,0.19736994190842908,0
TXN00315,25976,UPI,Insufficient Funds,4,2,0.4010090315885374,1
TXN00316,21395,Wallet,Insufficient Funds,1,6,0.21353733455399662,0
TXN00317,4087,Card,Authentication Failed,4,14,0.4866926490837565,1
TXN00318,22499,Netbanking,Authentication Failed,3,18,0.7460588166144753,1
TXN00319,46314,Netbanking,Authentication Failed,3,19,0.7398573707032825,1
TXN00320,34086,UPI,Network Error,3,1,0.4596702645316696,0
TXN00321,20980,Netbanking,Authentication Failed,5,18,0.845556322708402,1
TXN00322,4835,Wallet,Network Error,3,8,0.7147977279353787,0
TXN00323,44164,UPI,Insufficient Funds,5,18,0.3159470036734101,1
TXN00324,4655,UPI,Insufficient Funds,5,4,0.40135490654660244,0
TXN00325,42014,UPI,Insufficient Funds,4,17,0.4735498774064205,0
TXN00326,40918,UPI,Bank Declined,1,15,0.5919233722920498,0
TXN00327,45625,Wallet,Bank Declined,4,3,0.5404835248753248,1
TXN00328,19930,UPI,Timeout,4,11,0.65345296286258,0
TXN00329,17529,Netbanking,Timeout,5,6,0.4234883372995203,0
TXN00330,6993,Wallet,Timeout,5,13,0.8689130330132756,1
TXN00331,14473,Card,Bank Declined,3,22,0.5792322239587108,1
TXN00332,47433,Card,Bank Declined,3,11,0.29175590319329214,0
TXN00333,3536,Netbanking,Timeout,4,2,0.8363099711079446,0
TXN00334,8854,Netbanking,Timeout,2,4,0.9527107848641455,1
TXN00335,10777,Wallet,Authentication Failed,2,16,0.8631148294658735,1
TXN00336,5995,Card,Timeout,3,9,0.558312412687821,0
TXN00337,19838,Card,Authentication Failed,2,9,0.2948618114925278,0
TXN00338,30846,Card,Network Error,3,10,0.6628797386431456,1
TXN00339,49477,Card,Bank Declined,5,16,0.2788264605444545,0
TXN00340,48504,Card,Timeout,4,4,0.953791192958832,1
TXN00341,32452,UPI,Bank Declined,1,12,0.3285057391486022,1
TXN00342,39890,Netbanking,Bank Declined,4,9,0.37693610196581484,0
TXN00343,42019,UPI,Bank Declined,3,8,0.4846455688194793,0
TXN00344,5700,Card,Network Error,3,16,0.5682151279913881,0
TXN00345,29224,Wallet,Insufficient Funds,4,0,0.6062640246785224,1
TXN00346,27743,Wallet,Timeout,3,3,0.6194217743856736,0
TXN00347,40864,Card,Insufficient Funds,2,3,0.16953778200233585,0
TXN00348,9107,Card,Insufficient Funds,2,17,0.2370469268402519,1
TXN00349,45814,Wallet,Insufficient Funds,3,8,0.4063793696312653,1
TXN00350,37510,UPI,Bank Declined,3,17,0.30321774219829445,1
TXN00351,44180,UPI,Authentication Failed,2,13,0.6281589729522099,1
TXN00352,40547,Card,Bank Declined,3,14,0.5960231145858021,1
TXN00353,8308,UPI,Bank Declined,3,5,0.7002916214675803,0
TXN00354,18689,Wallet,Insufficient Funds,4,23,0.7063932307655573,0
TXN00355,43584,UPI,Bank Declined,1,9,0.8385781927708089,1
TXN00356,17553,Card,Insufficient Funds,2,14,0.7122529326481818,1
TXN00357,36312,Wallet,Authentication Failed,4,3,0.37130091791659064,0
TXN00358,43625,UPI,Timeout,1,17,0.3920957146475482,0
TXN00359,47302,Netbanking,Insufficient Funds,3,17,0.2615936903475139,0
TXN00360,32735,Wallet,Authentication Failed,3,16,0.8265596209364201,0
TXN00361,33928,Wallet,Timeout,4,11,0.98,1
TXN00362,18811,Netbanking,Network Error,3,6,0.9015274657493332,1
TXN00363,3520,Netbanking,Insufficient Funds,5,15,0.12701240478928053,0
TXN00364,31316,Wallet,Insufficient Funds,4,10,0.7131995986418552,1
TXN00365,401,Netbanking,Network Error,1,13,0.5963506191455502,0
TXN00366,45336,Card,Network Error,4,2,0.3065172035336476,0
TXN00367,49858,Card,Insufficient Funds,2,18,0.3596756185237354,1
TXN00368,799,Card,Network Error,4,17,0.3322484187728273,0
TXN00369,290,Wallet,Bank Declined,3,9,0.5807145448127823,1
TXN00370,10592,Netbanking,Timeout,3,5,0.5369878192059359,0
TXN00371,35843,Netbanking,Timeout,5,12,0.6314044535158341,1
TXN00372,6202,UPI,Timeout,5,9,0.7292192525201818,1
TXN00373,19878,UPI,Bank Declined,5,17,0.8081607670724742,1
TXN00374,26741,Netbanking,Network Error,1,19,0.7633311035303499,1
TXN00375,34684,Netbanking,Authentication Failed,5,15,0.5038342079347264,0
TXN00376,32845,Netbanking,Network Error,1,5,0.8735994975692555,1
TXN00377,23193,Wallet,Insufficient Funds,5,12,0.6839074963011925,0
TXN00378,669,Netbanking,Timeout,1,3,0.3838319765025381,0
TXN00379,38310,UPI,Network Error,4,22,0.672353084286954,0
TXN00380,34763,Wallet,Authentication Failed,4,13,0.3991583718197109,0
TXN00381,36731,Netbanking,Insufficient Funds,3,0,0.08294283851386319,0
TXN00382,45781,UPI,Bank Declined,1,19,0.6679826865797898,1
TXN00383,7555,Wallet,Bank Declined,2,4,0.8039395442214579,1
TXN00384,4114,Netbanking,Authentication Failed,3,7,0.31403185813417583,1
TXN00385,11193,Netbanking,Insufficient Funds,4,11,0.6186895603367303,1
TXN00386,18170,Netbanking,Timeout,1,1,0.8973770134758591,1
TXN00387,35877,Wallet,Network Error,5,11,0.9400383098665385,1
TXN00388,16638,UPI,Insufficient Funds,2,4,0.23569956236023673,0
TXN00389,10829,UPI,Bank Declined,4,21,0.8327671456329224,1
TXN00390,34277,Card,Authentication Failed,3,4,0.42446392831550256,0
TXN00391,45117,Netbanking,Authentication Failed,1,12,0.586636609418852,1
TXN00392,884,Card,Network Error,2,8,0.3353552295825975,1
TXN00393,27851,Card,Authentication Failed,1,9,0.23071676185812054,1
TXN00394,40964,UPI,Authentication Failed,5,0,0.7042612489125419,0
TXN00395,40428,Wallet,Insufficient Funds,3,2,0.3611359845844536,1
TXN00396,12633,Wallet,Timeout,1,17,0.4794046627584523,1
